,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,1.0000002,0.9683328,0.9503841,0.9740532,0.9647799,0.9661497,0.978088,0.9722688,0.97193086,0.97085994,0.97560537,0.96890783,0.96651924,0.96747893,0.95825684,0.9461202,0.82244533,0.969847,0.9679732,0.87664527,0.95450145,0.9619701,0.9763373,0.974641,0.97899234,0.97453505,0.97761524,0.98173183,0.97615284,0.9702392,0.97286123,0.9817665,0.9524344,0.9485038,0.94193673,0.97078156,0.97479355,0.9782206,0.9477062,0.96845484,0.9756117,0.9567493,0.9635356
1,0.9683328,1.0,0.95295256,0.96461916,0.99004227,0.9906083,0.96399254,0.95900327,0.9553996,0.97105074,0.965211,0.95794266,0.9608882,0.95104307,0.9587774,0.93536156,0.8230164,0.9621778,0.9537837,0.865146,0.9474179,0.95258814,0.95301086,0.96171165,0.9633855,0.9586566,0.95257336,0.9628304,0.96277684,0.9584277,0.957945,0.9606213,0.9377371,0.9479757,0.94311434,0.9390726,0.9674005,0.96580964,0.95791507,0.951339,0.970518,0.96207625,0.9661187
2,0.9503841,0.95295256,0.9999998,0.9560257,0.95595294,0.9574832,0.95244324,0.9500807,0.9428412,0.9738128,0.947916,0.9605254,0.95038176,0.93832445,0.9708174,0.92440516,0.8084241,0.94416225,0.93784344,0.8802821,0.9378402,0.93786377,0.94112355,0.9498408,0.9566532,0.9513189,0.95278096,0.94555753,0.94014794,0.9477904,0.9481326,0.95324975,0.91719204,0.93725526,0.93792915,0.93359405,0.95687824,0.9473507,0.9353952,0.93242705,0.96829885,0.97123283,0.9679239
3,0.9740532,0.96461916,0.9560257,1.0000001,0.96893257,0.9683469,0.96606135,0.9583849,0.9520502,0.96546304,0.9608347,0.9736293,0.9519658,0.95928323,0.9492493,0.9407619,0.80398434,0.96254367,0.9632726,0.87979543,0.93550634,0.9553155,0.969733,0.9669078,0.9758152,0.96335214,0.9641645,0.96509266,0.97607744,0.95076895,0.9598417,0.9713341,0.9370197,0.9389225,0.9321955,0.953019,0.9708048,0.9587437,0.9327005,0.95051473,0.97806025,0.95602536,0.95528364
4,0.9647799,0.99004227,0.95595294,0.96893257,1.0000001,0.9927808,0.9623784,0.95286745,0.9531184,0.9684908,0.96583414,0.96025145,0.95594925,0.95007265,0.9583884,0.9428668,0.8307638,0.95956475,0.9563201,0.87100345,0.945402,0.95601845,0.95074385,0.9648763,0.9629477,0.9580218,0.9545811,0.96165013,0.9681958,0.954111,0.96254975,0.95972824,0.9354709,0.9438515,0.9375173,0.94367385,0.9696688,0.9586038,0.956933,0.9557074,0.9737053,0.9677855,0.96857834
5,0.9661497,0.9906083,0.9574832,0.9683469,0.9927808,1.0,0.96499366,0.9546984,0.954093,0.97047615,0.96252894,0.95775723,0.9583613,0.95402306,0.9576299,0.93446964,0.8280951,0.96255505,0.95154905,0.862092,0.94802785,0.95367426,0.9508184,0.96617115,0.9652046,0.95729715,0.9538421,0.96589524,0.9633404,0.9542509,0.95969427,0.96020097,0.9360074,0.94649285,0.938348,0.9409045,0.97016793,0.96281105,0.9584511,0.9530069,0.97198665,0.9645424,0.96656895
6,0.978088,0.96399254,0.95244324,0.96606135,0.9623784,0.96499366,0.99999976,0.96429753,0.9752662,0.96803707,0.9734149,0.9724142,0.9563722,0.9648073,0.9533375,0.9448283,0.8190707,0.9725001,0.9689366,0.86913615,0.9492258,0.9616105,0.97834015,0.9757068,0.98076797,0.96949744,0.9713989,0.98108035,0.96838206,0.9678225,0.96407926,0.9764956,0.9465311,0.9468713,0.939178,0.96148634,0.97201324,0.9710215,0.9506405,0.9621254,0.97609425,0.9639484,0.96673167
7,0.9722688,0.95900327,0.9500807,0.9583849,0.95286745,0.9546984,0.96429753,0.9999997,0.9681087,0.96722335,0.96093565,0.9676946,0.9625105,0.95941734,0.95090413,0.93967307,0.8180403,0.9616637,0.9564312,0.8780631,0.9546514,0.9493001,0.9569429,0.97009736,0.96758854,0.97105753,0.97196037,0.96506524,0.9649735,0.9701779,0.96739346,0.9702484,0.94617856,0.9523484,0.95500535,0.96343976,0.97004014,0.9738721,0.958644,0.9599766,0.9710467,0.95915896,0.9624005
8,0.97193086,0.9553996,0.9428412,0.9520502,0.9531184,0.954093,0.9752662,0.9681087,0.99999994,0.9594397,0.9591421,0.96426153,0.956348,0.96030045,0.94960696,0.94237345,0.8137496,0.96339905,0.9663505,0.87749165,0.9490774,0.9523464,0.96676767,0.97708046,0.9728869,0.9674609,0.9708717,0.9759326,0.9651261,0.9780861,0.9704642,0.97526264,0.95528185,0.94404596,0.94579494,0.97887343,0.9669842,0.9765295,0.9561544,0.97011876,0.9645928,0.9553387,0.9605968
9,0.97085994,0.97105074,0.9738128,0.96546304,0.9684908,0.97047615,0.96803707,0.96722335,0.9594397,0.99999994,0.969083,0.96991915,0.96934056,0.957191,0.97103953,0.9455245,0.81877804,0.9585796,0.95539,0.8713877,0.9545092,0.9440227,0.95843893,0.96469057,0.96775496,0.96445125,0.96511304,0.96592796,0.9602237,0.96776193,0.9650575,0.9673039,0.94181985,0.96420777,0.9602788,0.94817424,0.97198224,0.96732515,0.95719,0.95197976,0.97958,0.9774139,0.97655004
